timestep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	lx	hpmc_overlap_count	hpmc_patch_energy	time	temp
89840000	0.1643192488	0.2033898305	0.0373308977	0.04046831241	12	0	-13744.88672	40946.27957	0.8949541618
89850000	0.2065217391	0.1764705882	0.03584230763	0.03892352292	12	0	-13855.87207	40961.75581	0.8949541618
89860000	0.1549295775	0.2189542484	0.03704958984	0.04051776767	12	0	-13646.96094	40977.52257	0.8949541618
89870000	0.1992882562	0.1746031746	0.03765655865	0.04122871005	12	0	-13561.67188	40992.98384	0.8949541618
89880000	0.2179487179	0.198630137	0.037154458	0.04043911712	12	0	-13663.25781	41008.36507	0.8949541618
89890000	0.1776859504	0.1867219917	0.03657918115	0.03999413989	12	0	-13444.87305	41023.70177	0.8949541618
89900000	0.2202643172	0.1885964912	0.03708135708	0.04040355587	12	0	-13663.39941	41039.02991	0.8949541618
89910000	0.2416356877	0.2263374486	0.03739115092	0.0405774557	12	0	-13536.8125	41054.59623	0.8949541618
89920000	0.2097378277	0.1971326165	0.03604811629	0.03931077961	12	0	-13563.70508	41069.94624	0.8949541618
89930000	0.2575757576	0.2560553633	0.03754304933	0.04086787106	12	0	-13594.20996	41085.31359	0.8949541618
89940000	0.226618705	0.1660777385	0.0374711641	0.04066005644	12	0	-13677.37988	41100.66412	0.8949541618
89950000	0.1822222222	0.2307692308	0.03772366854	0.04110902305	12	0	-13552.7207	41116.33783	0.8949541618
89960000	0.2479338843	0.2551440329	0.03721547372	0.04053832514	12	0	-13462.19531	41131.97425	0.8949541618
89970000	0.1568627451	0.2140221402	0.03687366883	0.04010580685	12	0	-13693.5498	41147.51329	0.8949541618
89980000	0.1585365854	0.1571428571	0.03631990879	0.03966970428	12	0	-13655.17578	41163.13472	0.8949541618
89990000	0.1798561151	0.1557093426	0.03585756284	0.03906644764	12	0	-13740.04199	41178.53875	0.8949541618
90000000	0.1911764706	0.1782178218	0.0369260827	0.03986285497	12	0	-13754.00684	41194.31763	0.8949541618
90010000	0.1402714932	0.2116402116	0.03538826195	0.03812863519	12	0	-14446.84375	41210.21561	0.8502064537
90020000	0.2172284644	0.1954022989	0.03552684322	0.03867837037	12	0	-14549.84961	41225.88078	0.8502064537
90030000	0.1754966887	0.1666666667	0.03533988792	0.03819764403	12	0	-14495.10645	41241.52088	0.8502064537
90040000	0.188	0.1632653061	0.03434774127	0.03739979549	12	0	-14584.95898	41257.09294	0.8502064537
90050000	0.2311111111	0.2056074766	0.03401381761	0.03688426157	12	0	-14581.87598	41272.41282	0.8502064537
90060000	0.1927710843	0.2051282051	0.03498580668	0.03827872329	12	0	-14367.31836	41288.10059	0.8502064537
90070000	0.1899224806	0.1983471074	0.03575766609	0.03786889332	12	0	-14426.23633	41304.20522	0.8502064537
90080000	0.1762452107	0.1666666667	0.03463369762	0.03758480563	12	0	-14684.09668	41319.73362	0.8502064537
90090000	0.1727574751	0.1947194719	0.0356978152	0.03845795012	12	0	-14559.91406	41335.48375	0.8502064537
90100000	0.1825095057	0.1648351648	0.03538564535	0.03790981851	12	0	-14531.81543	41351.06634	0.8502064537
90110000	0.1764705882	0.23	0.03553218805	0.03823517068	12	0	-14446.81738	41366.64688	0.8502064537
